Processing files...
estimator: KNN; dim_reduction: pca; min_score: 0.886; mean_score: 0.914; max_score: 0.956; std_score: 0.024; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.88; mean_score: 0.912; max_score: 0.955; std_score: 0.025; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.884; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.884; mean_score: 0.915; max_score: 0.956; std_score: 0.025; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 3, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.867; mean_score: 0.907; max_score: 0.957; std_score: 0.031; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.874; mean_score: 0.91; max_score: 0.959; std_score: 0.029; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.874; mean_score: 0.91; max_score: 0.959; std_score: 0.03; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 10, 'classifier__weights': 'uniform'}
estimator: KNN; dim_reduction: pca; min_score: 0.868; mean_score: 0.909; max_score: 0.959; std_score: 0.031; Parameters: {'dim_red__n_components': 20, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.875; mean_score: 0.912; max_score: 0.961; std_score: 0.03; Parameters: {'dim_red__n_components': 33, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: KNN; dim_reduction: pca; min_score: 0.875; mean_score: 0.912; max_score: 0.961; std_score: 0.03; Parameters: {'dim_red__n_components': 43, 'classifier__n_neighbors': 5, 'classifier__leaf_size': 10, 'classifier__weights': 'distance'}
estimator: SVC; dim_reduction: pca; min_score: 0.903; mean_score: 0.928; max_score: 0.958; std_score: 0.021; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.899; mean_score: 0.93; max_score: 0.959; std_score: 0.023; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.9; mean_score: 0.93; max_score: 0.959; std_score: 0.023; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.885; mean_score: 0.919; max_score: 0.951; std_score: 0.023; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 0.1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.892; mean_score: 0.927; max_score: 0.962; std_score: 0.025; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 0.1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.893; mean_score: 0.928; max_score: 0.963; std_score: 0.026; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 0.1, 'classifier__class_weight': {}, 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.903; mean_score: 0.929; max_score: 0.959; std_score: 0.021; Parameters: {'dim_red__n_components': 20, 'classifier__gamma': 1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.899; mean_score: 0.931; max_score: 0.962; std_score: 0.024; Parameters: {'dim_red__n_components': 33, 'classifier__gamma': 1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 1000}
estimator: SVC; dim_reduction: pca; min_score: 0.899; mean_score: 0.931; max_score: 0.96; std_score: 0.023; Parameters: {'dim_red__n_components': 43, 'classifier__gamma': 1, 'classifier__class_weight': 'balanced', 'classifier__kernel': 'rbf', 'classifier__C': 1000}
